conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/occupation/38a7f453-a7f0-45d2-a74d-5b92506e4a21,technicien en conception électronique/technicienne en conception électronique,technicienne en conception électronique|technicien en conception électronique
http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,chercheur en sciences sociales/chercheuse en sciences sociales,chercheuse en sciences sociales|chercheur en sciences sociales
http://data.europa.eu/esco/occupation/384ed128-e86e-4dd8-96ff-b6e6657cb027,inspecteur de la sécurité des navires/inspectrice de la sécurité des navires,inspecteur de la sécurité des navires|inspectrice de la sécurité des navires
http://data.europa.eu/esco/occupation/3b43dafb-8c6b-4906-9fe5-bc218aacad55,entraîneur d’équipe de football/entraîneuse d’équipe de football,entraîneur d'équipe de football|entraîneuse d'équipe de football
http://data.europa.eu/esco/occupation/3ae7c42b-7929-402f-bcbc-882b8679abf4,spécialiste en import-export de quincaillerie et fournitures pour plomberie et chauffage,
http://data.europa.eu/esco/occupation/399afb40-d58b-4f4a-aa52-a0378fccaf65,vendeur en animalerie/vendeuse en animalerie,vendeur en animalerie|vendeuse en animalerie
http://data.europa.eu/esco/occupation/39d7dca7-5e0b-4308-889e-9e3d22a3cb56,enseignant de la conduite et de la sécurité routière/enseignante de la conduite et de la sécurité routière,enseignant de la conduite et de la sécurité routière|enseignante de la conduite et de la sécurité routière
http://data.europa.eu/esco/occupation/38eb308f-0075-451e-9c1a-c557fd173022,agent d’entretien de parc d’attractions/agente d’entretien de parc d’attractions,agent d'entretien de parc d'attractions|agente d'entretien de parc d'attractions|agente d'entretien de parc de loisirs|agent d'entretien de parc de loisirs
http://data.europa.eu/esco/occupation/39b4e367-94b5-49fe-bcd7-4b116865ca59,spécialiste en import-export de fruits et légumes,
http://data.europa.eu/esco/occupation/394bdd9b-3ee8-43a9-b943-442ce146bb21,conseiller en thérapie par l’exercice physique/conseillère en thérapie par l’exercice physique,conseillère en thérapie par l'exercice physique|conseiller en thérapie par l'exercice physique
http://data.europa.eu/esco/occupation/3b2229b4-807c-482a-89ca-2d0a542be196,assistant social pour personnes âgées/assistante sociale pour personnes âgées,assistant social pour personnes âgées|assistante sociale pour personnes âgées
http://data.europa.eu/esco/occupation/39c89133-bd2a-45db-b3eb-529b94daeeaf,agent chargé de la délivrance de permis/agente chargée de la délivrance de permis,agent chargé de la délivrance des permis|agente chargée de la délivrance des permis
http://data.europa.eu/esco/occupation/3a8a7f87-d394-42cd-804b-7a32375b90f0,opérateur sur machine à scier les métaux/opératrice sur machine à scier les métaux,opérateur sur machine à scier les métaux|opératrice sur machine à scier les métaux
http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,opérateur de traitement d’abrasion de surface/opératrice de traitement d’abrasion de surface,opératrice de traitement d’abrasion de surface|opérateur de traitement d’abrasion de surface
http://data.europa.eu/esco/occupation/3c1b7871-87f9-427b-adcb-fe16be8f9f24,technicien en instruments de musique/technicienne en instruments de musique,technicien en instruments de musique|technicienne  en instruments de musique
http://data.europa.eu/esco/occupation/3c2da05f-eb24-41f7-8307-46c96660fee0,contrôleur de la navigation aérienne/contrôleuse de la navigation aérienne,aiguilleuse du ciel|instructrice contrôleuse aérienne|contrôleur aérien|aiguilleur du ciel|instructeur contrôleur aérien|contrôleur de la navigation aérienne|contrôleuse de la circulation aérienne|contrôleuse aérienne
http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,directeur services aux entreprises/directrice services aux entreprises,directeur services aux entreprises|directrice services aux entreprises|responsable services aux entreprises
http://data.europa.eu/esco/occupation/3bdf6206-e952-4177-a17b-2a03bfee2144,sableur de bois/sableuse de bois,sableuse de bois|sableur de bois
http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb,producteur cinéma et vidéo/productrice cinéma et vidéo,productrice cinéma et vidéo|producteur cinéma et vidéo
http://data.europa.eu/esco/occupation/3c1041c1-7a20-41fd-8cb2-529d7f671226,gérant de poissonnerie/gérante de poissonnerie,gérante de poissonnerie|gérant de poissonnerie|responsable de poissonnerie
http://data.europa.eu/esco/occupation/3b755cda-c4b0-4fa1-8621-372f28ccc2e9,professeur des écoles Steiner-Waldorf/professeure des écoles Steiner-Waldorf,enseignant des écoles Steiner-Waldorf/enseignante des écoles Steiner-Waldorf|enseignant des écoles Steiner-Waldorf|professeure des écoles Steiner-Waldorf|professeur des écoles Steiner-Waldorf|enseignante des écoles Steiner-Waldorf
http://data.europa.eu/esco/occupation/3b6d4443-4518-4fb3-ae44-188a958e328d,vendeur en actions/vendeuse en actions,vendeuse en actions|vendeur en actions
http://data.europa.eu/esco/occupation/3ce4691e-ecea-4278-939e-b89ab01087b8,responsable des télécommunications,responsable réseau et télécommunications|responsable des télécoms|directrice des télécommunications|directeur des télécommunications
http://data.europa.eu/esco/occupation/3cc87d40-f402-4f57-9353-4b36a031cfc5,responsable de comptoir en location de véhicules,agente de comptoir en location de véhicules|agent de comptoir en location de véhicules
http://data.europa.eu/esco/occupation/3e9c6f2a-dc20-4366-aeb9-99dffd635b4c,tailleur de pierre/tailleuse de pierre,dégauchisseur de pierre|dégauchisseuse de pierre|dégauchisseur de pierre/dégauchisseuse de pierre|tailleur de pierre|tailleuse de pierre
http://data.europa.eu/esco/occupation/3cc51201-cd20-47f8-92ad-4d5861f963cf,chasseur-bagagiste,bagagiste|portier|portière|chasseur|porteur de bagages|porteuse de bagages
http://data.europa.eu/esco/occupation/3f32394b-f1b1-48ef-96ee-74405fb7c6b6,vendeur/vendeuse en jeux et loterie,vendeur en produits de loterie|vendeuse en produits de loterie|vendeuse  en jeux et loterie|vendeur en jeux de hasard|vendeur en jeux et loterie|vendeuse en jeux de hasard
http://data.europa.eu/esco/occupation/3e213d52-e7a0-4980-99d9-23da1f717f50,chargé de campagne politique/chargée de campagne politique,chargé de campagne politique|chargée de campagne politique
